seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source;avg_fixed_to_one;avg_fixed_to_zero
2;100;10;7;3687.644;-3.618966360112243e-13;-3.618966360112243e-11;30.090696231270545;8.314721176445883e13;12211968;12241;TIME_LIMIT;1.442822e6;2928;vertex;;
3;100;10;7;3609.785;-3.361439081784977e-13;-3.361439081784977e-11;32.937872547692216;9.798741475392644e13;12906515;12929;TIME_LIMIT;2.90698e6;5211;vertex;;
1;100;10;15;3600.004;-91.5912148776817;-91.5912148776817;89.37353875609074;0.9757872398073044;49622454;10087;TIME_LIMIT;1.456334e6;2036;rounding;0.0;0.0
2;100;10;15;3600.004;-70.42292207654144;-70.42292207654144;58.66220156547915;0.8329986861624434;50537055;10247;TIME_LIMIT;10164.0;19;vertex;0.0;0.0
3;100;10;15;3600.004;-87.20901023623136;-87.20901023623136;71.85777510758535;0.8239719142888716;51853032;10779;TIME_LIMIT;546509.0;816;vertex;0.0;0.0
1;100;10;34;3600.039;-248.28585624204612;-248.28585624204612;61.759719472896904;0.2487444126204647;35277701;91157;TIME_LIMIT;1734.0;7;rounding;0.0;0.0
2;100;10;34;3600.019;-177.55976430849825;-177.55976430849825;35.94922074735072;0.20246265187022522;46442478;41409;TIME_LIMIT;71238.0;113;vertex;0.0;0.0
3;100;10;34;3600.038;-215.30542478126426;-215.30542478126426;46.71503094327022;0.2169709889601227;37250233;87799;TIME_LIMIT;2.821524e6;36125;rounding;0.0;0.0
1;150;12;9;3605.846;-9.901790081252437e-13;-1.4852685121878656e-10;85.9252140719924;8.677745475000423e13;8313905;8301;TIME_LIMIT;1.152872e6;1498;follow_gradient;;
2;150;12;9;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing;0.0;0.0
3;150;12;9;3606.135;-1.283083883164603e-12;-1.9246258247469047e-10;84.52032483687677;6.587279751999963e13;8398932;8387;TIME_LIMIT;2.203324e6;2729;vertex;;
1;150;12;18;3600.002;-143.9508749018117;-143.9508749018117;223.54478173902726;1.5529240922745782;35071073;7033;TIME_LIMIT;562562.0;544;vertex;0.0;0.0
2;150;12;18;3600.002;-140.78715687263497;-140.78715687263497;156.08211195992044;1.1086388519168853;35712959;7155;TIME_LIMIT;2.75279e6;2732;vertex;0.0;0.0
3;150;12;18;3600.002;-135.0222478597014;-135.0222478597014;198.2900843551309;1.4685734202941851;35611582;7133;TIME_LIMIT;3.290914e6;3257;vertex;0.0;0.0
1;150;12;44;3600.002;-478.67983437155533;-478.67983437155533;197.8453765008643;0.41331462554843085;34438593;6957;TIME_LIMIT;2.810827e6;2735;rounding;0.0;0.0
2;150;12;44;3600.002;-419.3342400186493;-419.3342400186493;96.84547789698092;0.2309505608048459;34292364;6877;TIME_LIMIT;2.07245e6;2003;vertex;0.0;0.0
3;150;12;44;3600.002;-459.2460640166024;-459.2460640166024;158.22862906672935;0.3445399785963308;34496793;6951;TIME_LIMIT;1.572984e6;1549;rounding;0.0;0.0
1;200;14;10;3603.237;-1.6300822558280554e-12;-3.260164511656111e-10;142.77207801295376;8.758581200580448e13;5452482;5443;TIME_LIMIT;2.580929e6;1960;follow_gradient;;
2;200;14;10;3603.382;-1.6444952475874025e-12;-3.288990495174805e-10;126.24750661546535;7.676976069142181e13;5113194;5107;TIME_LIMIT;2.488142e6;1782;vertex;;
3;200;14;10;3613.831;-1.6042983266321053e-12;-1.6042983266321053e-12;317.21528887899933;1.977283673572905e14;15225119;3099;TIME_LIMIT;399631.0;237;vertex;0.0;0.0
1;200;14;21;3600.002;-195.67316002078314;-195.67316002078314;480.74476854941827;2.45687639785833;24040781;4815;TIME_LIMIT;2.749156e6;1837;vertex;0.0;0.0
2;200;14;21;3600.002;-197.71773284027827;-197.71773284027827;454.8569887022592;2.300537145394566;24319787;4871;TIME_LIMIT;3.08048e6;2083;vertex;0.0;0.0
3;200;14;21;3600.003;-213.6957221998478;-213.6957221998478;517.2639521301903;2.4205629705888363;23975394;4803;TIME_LIMIT;1.490101e6;1001;vertex;0.0;0.0
1;200;14;55;3600.002;-795.0641088562065;-795.0641088562065;406.3941368450912;0.5111463746360493;22701034;4541;TIME_LIMIT;2.964302e6;1871;rounding;0.0;0.0
2;200;14;55;3600.006;-755.6308660202053;-755.6308660202053;405.644745570482;0.5368292427054392;22584082;15353;TIME_LIMIT;3.207272e6;6418;rounding;0.0;0.0
3;200;14;55;3600.002;-880.6794903344105;-880.6794903344105;516.7540542064655;0.586767444771814;22522669;4365;TIME_LIMIT;3.449606e6;2084;rounding;0.0;0.0
